,R_0,R_1,R_2,R_3,R_4,City_State,County_Name,Secondary_Name,State
78,1065,1096,1248,1592,1951,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Rockdale County,Rockdale County,GA
79,1065,1096,1248,1592,1951,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Spalding County,Spalding County,GA
80,1065,1096,1248,1592,1951,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Walton County,Walton County,GA
81,713,718,945,1250,1504,"Butts County, GA HUD Metro FMR Area",Butts County,Butts County,GA
82,721,725,868,1096,1358,"Haralson County, GA HUD Metro FMR Area",Haralson County,Haralson County,GA
83,685,705,802,1055,1255,"Lamar County, GA HUD Metro FMR Area",Lamar County,Lamar County,GA
84,686,690,909,1311,1369,"Meriwether County, GA HUD Metro FMR Area",Meriwether County,Meriwether County,GA
85,823,847,964,1276,1693,"Morgan County, GA HUD Metro FMR Area",Morgan County,Morgan County,GA
86,939,1107,1404,1877,2130,"Atlantic City-Hammonton, NJ MSA",Atlantic County,Atlantic County,NJ
87,611,674,878,1154,1344,"Auburn-Opelika, AL MSA",Lee County,Lee County,AL
88,746,781,918,1251,1612,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",Burke County,Burke County,GA
89,746,781,918,1251,1612,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",Columbia County,Columbia County,GA
90,746,781,918,1251,1612,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",McDuffie County,McDuffie County,GA
91,746,781,918,1251,1612,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",Richmond County,Richmond County,GA
92,746,781,918,1251,1612,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",Aiken County,Aiken County,SC
93,746,781,918,1251,1612,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",Edgefield County,Edgefield County,SC
94,613,660,751,1040,1043,"Lincoln County, GA HUD Metro FMR Area",Lincoln County,Lincoln County,GA
95,1062,1220,1458,1896,2288,"Austin-Round Rock, TX MSA",Bastrop County,Bastrop County,TX
96,1062,1220,1458,1896,2288,"Austin-Round Rock, TX MSA",Caldwell County,Caldwell County,TX
97,1062,1220,1458,1896,2288,"Austin-Round Rock, TX MSA",Hays County,Hays County,TX
98,1062,1220,1458,1896,2288,"Austin-Round Rock, TX MSA",Travis County,Travis County,TX
99,1062,1220,1458,1896,2288,"Austin-Round Rock, TX MSA",Williamson County,Williamson County,TX
100,762,777,1013,1461,1739,"Bakersfield, CA MSA",Kern County,Kern County,CA
101,970,1195,1488,1926,2202,"Baltimore-Columbia-Towson, MD MSA",Anne Arundel County,Anne Arundel County,MD
102,970,1195,1488,1926,2202,"Baltimore-Columbia-Towson, MD MSA",Baltimore County,Baltimore County,MD
103,970,1195,1488,1926,2202,"Baltimore-Columbia-Towson, MD MSA",Carroll County,Carroll County,MD
104,970,1195,1488,1926,2202,"Baltimore-Columbia-Towson, MD MSA",Harford County,Harford County,MD
105,970,1195,1488,1926,2202,"Baltimore-Columbia-Towson, MD MSA",Howard County,Howard County,MD
106,970,1195,1488,1926,2202,"Baltimore-Columbia-Towson, MD MSA",Queen Anne's County,Queen Anne's County,MD
107,970,1195,1488,1926,2202,"Baltimore-Columbia-Towson, MD MSA",Baltimore city,Baltimore city,MD
108,667,778,987,1230,1707,"Bangor, ME HUD Metro FMR Area",Penobscot County,Bangor city,ME
109,667,778,987,1230,1707,"Bangor, ME HUD Metro FMR Area",Penobscot County,Brewer city,ME
110,667,778,987,1230,1707,"Bangor, ME HUD Metro FMR Area",Penobscot County,Eddington town,ME
